event_id,market_id,slug,asset,duration,question,start_time,end_time,yes_token_id,no_token_id,resolution_source,volume,active,closed
126885,1038080,btc-updown-5m-1766928300,BTC,5m,"Bitcoin Up or Down - December 28, 8:25AM-8:30AM ET",1766928300,1766928600,100505931460143580783696924495983469702335191973520797646450459577185721090544,57868060606625981326186100679622998699296063559297491122581032206990295378115,https://data.chain.link/streams/btc-usd,0.0,true,false
126293,1034628,eth-updown-15m-1766898900,ETH,5m,"Ethereum Up or Down - December 28, 12:15AM-12:30AM ET",1766898900,1766899800,11576460393906371772229920556942329575509436024151412727414846839830923112898,84033702065810943853057435085558947681853832282258469618209813219480004045796,https://data.chain.link/streams/eth-usd,0.0,true,false
126183,1034009,btc-updown-5m-1766893500,BTC,5m,"Bitcoin Up or Down - December 27, 10:45PM-10:50PM ET",1766893500,1766893800,769109502419504436062245537257194004298846647804637178168799597881548964681,47072893761285534183010846024044537627401798191521915593975409929175093698271,https://data.chain.link/streams/btc-usd,0.0,true,false
127738,1042207,sol-updown-5m-1766960700,SOL,5m,"Solana Up or Down - December 28, 5:25PM-5:30PM ET",1766960700,1766961000,105278760591748168670821918385429218026665818206033775170249398428700976226944,58247569529972775642703952237308281637080007748963061547329471814920823824013,https://data.chain.link/streams/sol-usd,0.0,true,false
126563,1036216,eth-updown-5m-1766912100,ETH,5m,"Ethereum Up or Down - December 28, 3:55AM-4:00AM ET",1766912100,1766912400,47413138837175824927722709241415829700449160348916841425679335715645865389506,111669888362036917901413769229225117680602841127116594762293894391372972674222,https://data.chain.link/streams/eth-usd,0.0,true,false
126115,1033620,sol-updown-5m-1766889900,SOL,5m,"Solana Up or Down - December 27, 9:45PM-9:50PM ET",1766889900,1766890200,23621688677445955303074998295551824176415661045776838817051709007175174792217,51611464421445199896144470156410373625459789988844889334257894940357282856094,https://data.chain.link/streams/sol-usd,0.0,true,false
127239,1039375,eth-updown-15m-1766940300,ETH,5m,"Ethereum Up or Down - December 28, 11:45AM-12:00PM ET",1766940300,1766941200,69871091540315816906218883395059067071416210050202457053311671521208713436245,13055063347738667213888161831628615831973632920229696188514234002612509574088,https://data.chain.link/streams/eth-usd,0.0,true,false
126945,1038191,eth-updown-15m-1766931300,ETH,5m,"Ethereum Up or Down - December 28, 9:15AM-9:30AM ET",1766931300,1766932200,96203475173512916352826346977989236677233230210679228197631274173851930193073,39420057062323376244090898296144169230905962244735417891794214058461527524803,https://data.chain.link/streams/eth-usd,0.0,true,false
126904,1038098,sol-updown-5m-1766929200,SOL,5m,"Solana Up or Down - December 28, 8:40AM-8:45AM ET",1766929200,1766929500,77701615555461000504012892713511798030081692855583350207154736282891506231730,30962028212752509801234965879845289119548046881148026038840227915662502087463,https://data.chain.link/streams/sol-usd,0.0,true,false
126671,1036914,eth-updown-5m-1766917500,ETH,5m,"Ethereum Up or Down - December 28, 5:25AM-5:30AM ET",1766917500,1766917800,15891927742183670393289207234593268418318863058789606036254114064210769779045,72570787083290876127761992463572916796126304151842744448062101077500244176618,https://data.chain.link/streams/eth-usd,0.0,true,false
127392,1040334,eth-updown-5m-1766946600,ETH,5m,"Ethereum Up or Down - December 28, 1:30PM-1:35PM ET",1766946600,1766946900,2201470000287608147535697870278947629185092933684114677741299472588497134495,58649154956211513509561357711759103602001472926324927549288590631526172250624,https://data.chain.link/streams/eth-usd,0.0,true,false
126494,1035793,eth-updown-5m-1766908800,ETH,5m,"Ethereum Up or Down - December 28, 3:00AM-3:05AM ET",1766908800,1766909100,55003713389983284398870388194136301818602271934794804248123688081213029036224,11409693989633265057907324749851647082391300952336671960700151823618267687706,https://data.chain.link/streams/eth-usd,0.0,true,false
